mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
24.065623839696247,0.4298531188902064,1.6988815466562908,0.02876536488920304,True,,sqrt,1,2,120,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 120}",0.8996570482497634,0.8996570482497634,0.8999970435193945,0.8997703800063072,0.00016027530715162933,48
24.411948521931965,0.22077606908794714,0.9088851610819498,0.055173256511467025,True,10,sqrt,1,4,174,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 174}",0.9073291154210028,0.9076247634815515,0.907166508987701,0.9073734626300851,0.00018969150657244965,9
30.373940229415894,1.2659138449977616,1.7098778088887532,0.04049190066441206,False,,log2,2,4,121,"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 121}",0.9040030747398297,0.9043578524124882,0.9043430700094608,0.904234665720593,0.00016387071456481318,35
19.676230589548748,0.3716950541118648,0.7102009455362955,0.004208839610224037,True,10,log2,2,3,137,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 137}",0.9074178098391674,0.9076691106906338,0.9074178098391674,0.9075015767896563,0.00011846435745989995,2
29.02332894007365,0.15926294941326205,1.772319237391154,0.0883247703288653,False,,sqrt,2,3,121,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 121}",0.9040030747398297,0.9043578524124882,0.9043430700094608,0.904234665720593,0.00016387071456481318,35
24.95913513501485,0.7236716197563899,1.8237597942352295,0.0436954359515298,True,,sqrt,1,4,141,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 141}",0.9039735099337748,0.9041952459791863,0.9041213339640491,0.90409669662567,9.218447913645722e-05,40
37.518506129582725,0.8815454400837183,2.0454087257385254,0.03256904353220123,False,20,log2,2,4,161,"{'bootstrap': False, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 161}",0.9057917455061495,0.9057769631031221,0.9056143566698203,0.905727688426364,8.036456574375014e-05,23
18.456395943959553,0.6924722821691249,1.2015802065531414,0.015077851860096542,True,20,log2,2,2,102,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 102}",0.9065013008514664,0.9073734626300851,0.9068412961210974,0.906905353200883,0.00035892805604450086,16
23.178216695785522,0.18901889559890067,1.701423168182373,0.01691314526701933,True,20,sqrt,1,2,138,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 138}",0.9050230605487228,0.9057030510879849,0.9056587038789026,0.9054616051718701,0.0003106259364647201,30
25.510711034138996,1.1716714194961488,1.6318703492482503,0.13480700193548054,False,,log2,2,3,108,"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 108}",0.9038848155156102,0.9043430700094608,0.9042691579943235,0.9041656811731316,0.00020088119984470833,39
38.43317230542501,0.13044824522221016,2.412343422571818,0.03563804042100988,False,,log2,2,4,159,"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 159}",0.9043430700094608,0.9043135052034059,0.9041952459791863,0.904283940397351,6.386728061349822e-05,34
33.360807259877525,0.38112175863222075,2.629690726598104,0.04256527440195465,True,,log2,1,4,177,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 177}",0.9039439451277199,0.9041065515610217,0.9039291627246925,0.903993219804478,8.036456574375014e-05,42
